None: Sentiment Score = 0.46, PRs Contributed = 67
MistaGreen: Sentiment Score = 0.62, PRs Contributed = 1
rocboronat: Sentiment Score = 0.54, PRs Contributed = 1
satoshun: Sentiment Score = 0.49, PRs Contributed = 1
stephanenicolas: Sentiment Score = 0.39, PRs Contributed = 3
dalinaum: Sentiment Score = 0.16, PRs Contributed = 3
DCRichards: Sentiment Score = 0.53, PRs Contributed = 1
paour: Sentiment Score = 0.54, PRs Contributed = 1
ytRino: Sentiment Score = 0.49, PRs Contributed = 1
ANPez: Sentiment Score = 0.38, PRs Contributed = 2
Sundin: Sentiment Score = 0.51, PRs Contributed = 1
michaeimm: Sentiment Score = 0.31, PRs Contributed = 2
bhargavms: Sentiment Score = 0.29, PRs Contributed = 2
gitter-badger: Sentiment Score = 0.96, PRs Contributed = 1
unverbraucht: Sentiment Score = 0.44, PRs Contributed = 1
thakkaryash94: Sentiment Score = 0.00, PRs Contributed = 1
tranleduy2000: Sentiment Score = 0.48, PRs Contributed = 1
denis-zhdanov: Sentiment Score = 0.55, PRs Contributed = 1
strooooke: Sentiment Score = 0.81, PRs Contributed = 1
newbee: Sentiment Score = 0.38, PRs Contributed = 1
rivendell1984: Sentiment Score = 0.59, PRs Contributed = 2
tuesda: Sentiment Score = 0.49, PRs Contributed = 1
koral--: Sentiment Score = 0.14, PRs Contributed = 1
knightcube: Sentiment Score = 0.49, PRs Contributed = 1
mariotaku: Sentiment Score = 0.58, PRs Contributed = 1
friederbluemle: Sentiment Score = 0.49, PRs Contributed = 1
PaulWoitaschek: Sentiment Score = 0.49, PRs Contributed = 1
huynhducloi: Sentiment Score = 0.26, PRs Contributed = 1
Anton111111: Sentiment Score = 0.31, PRs Contributed = 1
jlnstrk: Sentiment Score = 0.55, PRs Contributed = 1
qingyizeng: Sentiment Score = 0.47, PRs Contributed = 1
adrinieto: Sentiment Score = 0.40, PRs Contributed = 1
colinrtwhite: Sentiment Score = 0.22, PRs Contributed = 1
UgglyNoodle: Sentiment Score = 0.51, PRs Contributed = 1
wangrunxiang: Sentiment Score = 0.51, PRs Contributed = 1
svasilinets: Sentiment Score = 0.52, PRs Contributed = 2
hansemannn: Sentiment Score = 0.21, PRs Contributed = 1
5peak2me: Sentiment Score = 0.38, PRs Contributed = 1
yangtianrui95: Sentiment Score = 0.55, PRs Contributed = 1
aleien: Sentiment Score = 0.49, PRs Contributed = 1
DanielSerdyukov: Sentiment Score = 0.09, PRs Contributed = 1
AnwarShahriar: Sentiment Score = 0.27, PRs Contributed = 1
Gnzlt: Sentiment Score = 0.36, PRs Contributed = 1
r-ralph: Sentiment Score = 0.43, PRs Contributed = 1
jokermonn: Sentiment Score = 0.52, PRs Contributed = 1
lucas34: Sentiment Score = 0.35, PRs Contributed = 1
ckrgithub: Sentiment Score = 0.96, PRs Contributed = 1
technoir42: Sentiment Score = 0.29, PRs Contributed = 2
AlanCowap: Sentiment Score = 0.96, PRs Contributed = 1
phxnirvana: Sentiment Score = 0.70, PRs Contributed = 2
MichalStranik: Sentiment Score = 0.55, PRs Contributed = 1
JadenChoi: Sentiment Score = 0.49, PRs Contributed = 1
cpovirk: Sentiment Score = 0.00, PRs Contributed = 2
petma: Sentiment Score = 0.76, PRs Contributed = 1
daniel-google: Sentiment Score = 0.00, PRs Contributed = 2
limuyang2: Sentiment Score = 0.64, PRs Contributed = 1
neworld: Sentiment Score = 0.76, PRs Contributed = 1
yuriy-budiyev: Sentiment Score = 0.36, PRs Contributed = 1
arturogutierrez: Sentiment Score = 0.55, PRs Contributed = 1
ZacSweers: Sentiment Score = 0.14, PRs Contributed = 1
paynemiller92: Sentiment Score = -0.76, PRs Contributed = 1
prempalsingh: Sentiment Score = 0.00, PRs Contributed = 1
ajsinclair: Sentiment Score = 0.36, PRs Contributed = 1
kevinvanmierlo: Sentiment Score = 0.43, PRs Contributed = 1
IshaanOhri: Sentiment Score = 0.96, PRs Contributed = 1
NitishGadangi: Sentiment Score = 0.62, PRs Contributed = 1
timurrrr: Sentiment Score = 0.04, PRs Contributed = 9
Yashmal99: Sentiment Score = 0.76, PRs Contributed = 1
zsmb13: Sentiment Score = 0.43, PRs Contributed = 1
bgylde: Sentiment Score = 0.34, PRs Contributed = 1
JLLeitschuh: Sentiment Score = 0.49, PRs Contributed = 1
emarc-m: Sentiment Score = 0.60, PRs Contributed = 1
mkruglikov: Sentiment Score = 0.64, PRs Contributed = 1
ouattararomuald: Sentiment Score = 0.62, PRs Contributed = 1
mkj-gram: Sentiment Score = 0.75, PRs Contributed = 1
TerryJung: Sentiment Score = 0.56, PRs Contributed = 1
Danny7226: Sentiment Score = -0.05, PRs Contributed = 3
Pravin-Divraniya: Sentiment Score = 0.00, PRs Contributed = 1
gabriel403: Sentiment Score = 0.85, PRs Contributed = 1
chggr: Sentiment Score = 0.44, PRs Contributed = 1
jiyewushen: Sentiment Score = 0.51, PRs Contributed = 2
carlonzo: Sentiment Score = 0.28, PRs Contributed = 1
cushon: Sentiment Score = 0.00, PRs Contributed = 3
dlew: Sentiment Score = -0.00, PRs Contributed = 2
Barackos: Sentiment Score = 0.78, PRs Contributed = 1
MahmoudMabrok: Sentiment Score = 0.48, PRs Contributed = 1
androiddevnotes: Sentiment Score = 0.49, PRs Contributed = 1
T45K: Sentiment Score = -0.02, PRs Contributed = 1
ku8ar: Sentiment Score = 0.72, PRs Contributed = 1
PaulinaSadowskaAllegro: Sentiment Score = 0.73, PRs Contributed = 1
arberg: Sentiment Score = 0.57, PRs Contributed = 1
Ezaldeen99: Sentiment Score = 0.68, PRs Contributed = 1
trungduc0310: Sentiment Score = 0.88, PRs Contributed = 1
ImanX: Sentiment Score = 0.68, PRs Contributed = 1
EwoutH: Sentiment Score = 0.31, PRs Contributed = 1
skyinu: Sentiment Score = 0.56, PRs Contributed = 1
yorickhenning: Sentiment Score = 0.00, PRs Contributed = 1
fightyz: Sentiment Score = 0.39, PRs Contributed = 1
AlirezaEiji191379: Sentiment Score = 0.91, PRs Contributed = 1
surajsahani: Sentiment Score = 0.48, PRs Contributed = 1
wp529: Sentiment Score = 0.62, PRs Contributed = 1
madison-allen: Sentiment Score = 0.68, PRs Contributed = 1
valerybokov: Sentiment Score = 0.57, PRs Contributed = 1
vigneshvg: Sentiment Score = 0.03, PRs Contributed = 9
kluever: Sentiment Score = 0.00, PRs Contributed = 3
JasurbekA: Sentiment Score = 0.00, PRs Contributed = 1
breeStreem: Sentiment Score = 0.84, PRs Contributed = 1
TacoTheDank: Sentiment Score = 0.39, PRs Contributed = 3
Haoxiqiang: Sentiment Score = 0.62, PRs Contributed = 1
Goooler: Sentiment Score = -0.07, PRs Contributed = 3
yacyet: Sentiment Score = 0.69, PRs Contributed = 1
AndroidDeveloperLB: Sentiment Score = -0.16, PRs Contributed = 1
psy01212: Sentiment Score = 0.00, PRs Contributed = 1
hoisie: Sentiment Score = 0.12, PRs Contributed = 4
LeeKwonju: Sentiment Score = -0.10, PRs Contributed = 1
chaoren: Sentiment Score = 0.00, PRs Contributed = 1
tjlatehjr: Sentiment Score = 0.68, PRs Contributed = 1
asimaruk: Sentiment Score = 0.73, PRs Contributed = 1
simoarpe: Sentiment Score = 0.20, PRs Contributed = 2
KirillMakarov: Sentiment Score = 0.49, PRs Contributed = 1
trevorhackman: Sentiment Score = 0.00, PRs Contributed = 1
notona: Sentiment Score = -0.07, PRs Contributed = 1
osamaaftab007: Sentiment Score = 0.68, PRs Contributed = 2
osamaaftab: Sentiment Score = 0.58, PRs Contributed = 2
pratikbutani: Sentiment Score = 0.49, PRs Contributed = 1
MrRobot1413: Sentiment Score = 0.50, PRs Contributed = 1
paulsowden: Sentiment Score = -0.16, PRs Contributed = 3
phoenixli: Sentiment Score = 0.25, PRs Contributed = 1
MeandNi: Sentiment Score = 0.06, PRs Contributed = 1
renovate[bot]: Sentiment Score = -0.64, PRs Contributed = 28
brettchabot: Sentiment Score = 0.49, PRs Contributed = 2
Caij: Sentiment Score = 0.53, PRs Contributed = 1
mori-atsushi: Sentiment Score = 0.58, PRs Contributed = 1
argestes: Sentiment Score = 0.59, PRs Contributed = 1
sumita12: Sentiment Score = 0.00, PRs Contributed = 1
0xnm: Sentiment Score = 0.64, PRs Contributed = 1
Rustmilian: Sentiment Score = 0.68, PRs Contributed = 1
QueenAliya: Sentiment Score = 0.68, PRs Contributed = 1
benjaminRomano: Sentiment Score = 0.00, PRs Contributed = 1
Developer Name              GitHub UsernameNumber of Commits   Additions   Deletions  Files Changed
-----------------------------------------------------------------------------------------------
renovate[bot]               renovate[bot]               21          38          21             22
falhassen                   falhassen                    5         855         309             29
Sam Judd                    sjudd                       37        2935        1349            190
Nikita Ogorodnikov          0xnm                         1         262           7              4
Rustmilian                  Rustmilian                   1           2           2              1
Róbert Papp                 TWiStErRob                   4          28           3              4
Vignesh Venkatasubramanian  vigneshvg                    2          16           3              2
Michael Hoisie              hoisie                       1           0          15              1
Emil Arfvidsson             kanelbulle                   3           7          54              3
mori atsushi                mori-atsushi                 1          45          23              3
Róbert Papp (TWiStErRob)    TWiStErRob                   7          83         167            122
Brett Chabot                brettchabot                  2         171          84             85
Sam                         sjudd                        9         412         369             47
Osama Aftab                 osamaaftab                   1          28           6              1
Huang Li                    phoenixli                    1          41           0              3
Paul Sowden                 paulsowden                   4          20          53              5

GitHub Developers' Statistics:
--------------------------------------------------------------------------------
Developer Name: sjudd
Number of Issues Created: 158
Number of Issues Assigned: 85
Number of Issues Resolved: 80
Average Issue Resolution Time (hours): 3380.15
--------------------------------------------------------------------------------
Developer Name: csobrinho
Number of Issues Created: 7
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: lalith-b
Number of Issues Created: 9
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: codebreaker
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: savvasdalkitsis
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: shism2
Number of Issues Created: 8
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: DavidJoe
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: phileo
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: lijing01
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: o-antsiferov
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: tgamez
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: kaivnlp
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: nemphys
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: jtyang
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: Faucheuse
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: nikacot
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: Unknown
Number of Issues Created: 52
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: lunf
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: mwyszomierski
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: apat183
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: vanniktech
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: raigex
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: andaag
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: hegazy
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: Cosebe
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: gonemad
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: bubbleguuum
Number of Issues Created: 8
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: TWiStErRob
Number of Issues Created: 58
Number of Issues Assigned: 22
Number of Issues Resolved: 22
Average Issue Resolution Time (hours): 7527.16
--------------------------------------------------------------------------------
Developer Name: okrosa
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: alenz316
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: leon456
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: yelinaung
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: gbrbks
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: harshavardhands
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: fourlastor
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: Pkmmte
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: tom91136
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: GargManish
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: SteveEdson
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: saket
Number of Issues Created: 12
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: abuddy
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: fcolasuonno
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: adisonhyh
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: vpratfr
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: x2hokim
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: AlexBlokh
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: magicseth
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: kegita
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: RobertoArtiles
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: tanis2000
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: penmatsa
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: bpappin
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: cody-young
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: pangminfu
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: Folyd
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: FrancoisBlavoet
Number of Issues Created: 8
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: cnordvik
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: ximida
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: nathan-yuen
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: varunmaini
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: hunter-isaiah96
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: pavlospt
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: rfazi
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: jisung
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: EGecius
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: stepango
Number of Issues Created: 6
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: hejinxigege
Number of Issues Created: 5
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: floating-cat
Number of Issues Created: 4
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: thorbenprimke
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: mjurkus
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: littledot
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: darklee
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: pahmcoung
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: ruanml
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: vipinhelloindia
Number of Issues Created: 3
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: mttmllns
Number of Issues Created: 2
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: dalinaum
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: HansDamp
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: StephenMilone
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
--------------------------------------------------------------------------------
Developer Name: pathikdevani
Number of Issues Created: 1
Number of Issues Assigned: 0
Number of Issues Resolved: 0
Average Issue Resolution Time (hours): 0.00
